Α/Α;ΕΠΩΝΥΜΙΑ (GR);ΕΠΩΝΥΜΙΑ (EN);ΣΥΝΤΟΜΗ ΠΕΡΙΓΡΑΦΗ - GR;ΣΥΝΤΟΜΗ ΠΕΡΙΓΡΑΦΗ- EN;Αρχειο ή Διεύθυνση Λογότυπου (Αρχείο png ή jpg ή gif);Αρχειο ή Διεύθυνση Εικόνας (Αρχείο png ή jpg ή gif);ΓΕΩΓΡΑΦΙΚΟ ΠΛΑΤΟΣ (latitude);ΓΕΩΓΡΑΦΙΚΟ ΜΗΚΟΣ (longitude);Υπεύθυνος Επικοινωνίας (GR);Υπεύθυνος Επικοινωνίας (EN);ΔΙΕΥΘΥΝΣΗ GR;ΔΙΕΥΘΥΝΣΗ EN;ΝΟΜΟΣ GR;ΝΟΜΟΣ EN;ΔΗΜΟΣ GR;ΔΗΜΟΣ EN;ΠΕΡΙΟΧΗ EN;ΠΕΡΙΟΧΗ GR;ΤΚ;ΤΗΛ.;ΚΙΝΗΤΟ;EMAIL;WEBSITE;ΜΗΝΕΣ ΛΕΙΤΟΥΡΓΙΑΣ;ΗΜΕΡΕΣ ΛΕΙΤΟΥΡΓΙΑΣ;ΩΡΑΡΙΟ;ΒΙΟΛΟΓΙΚΗ (ΝΑΙ/ΟΧΙ);ΓΛΩΣΣΕΣ ΞΕΝΑΓΗΣΗΣ;ΔΥΝΑΤΟΤΗΤΑ ΕΚΔΗΛΩΣΕΩΝ (ΝΑΙ/ΟΧΙ);ΑΡΙΘΜΟΣ ΑΤΟΜΩΝ;ΠΡΟΣΒΑΣΗ ΜΕ ΛΕΩΦΟΡΕΙΟΥ (ΝΑΙ/ΟΧΙ);ΞΕΝΑΓΗΣΗ ΜΕ RDV (ΝΑΙ/ΟΧΙ);ΞΕΝΑΓΗΣΗ ΣΤΟ ΟΙΝΟΠΟΙΕΙΟ (ΝΑΙ/ΟΧΙ);ΠΡΟΒΟΛΗ VIDEO (ΝΑΙ/ΟΧΙ);ΠΡΟΣΒΑΣΗ ΣΕ ΑΜΕΑ (ΝΑΙ/ΟΧΙ);ΠΩΛΗΣΗ ΛΟΙΠΩΝ ΠΡΟΙΟΝΤΩΝ (ΝΑΙ/ΟΧΙ);ΣΥΜΒΑΤΙΚΗ ΚΑΛΛΙΕΡΓΙΑ (ΝΑΙ/ΟΧΙ)
18;Ε.Α.Σ. Ηρακλείου;Union of Agricultural Cooperatives of Iraklion;H Ένωση Ηρακλείου κατέχει μια σημαντική θέση στον τομέα του κρασιού στον νομό Ηρακλείου. Οινοποιεία της υπάρχουν στις θέσεις Δαφνές, Αρκαλοχώρι και  ένα σύγχρονο εμφιαλωτήριο κρασιού στις Μαλάδες. Προς αντικατάσταση παλαιότερων εγκαταστάσεων πρόσφατα ολοκληρώθηκε η δημιουργία νέου υπερσύγχρονου οινοποιείου στη θέση Παλιανή, Ηρακλείου. Σκοπός της δημιουργίας των νέων αυτών εγκαταστάσεων ήταν ο εξοπλισμός ενός Οινοποιείου με μηχανήματα τελευταίας τεχνολογίας με απώτερο στόχο την ποιοτική αναβάθμιση των προϊόντων της Ένωσης Αγροτικών Συνεταιρισμών Ηρακλείου.;The Union of Agricultural Cooperatives of Iraklion holds an important position in the wine sector in the prefecture of Iraklion. It owns wineries in Dafnes, Arkalochori and a modern bottling wine in Malades. Recently a new modern winery in position Paliani, Heraklion was completed so as to replace older facilities.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_833/logo_logo_easi_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_833/header_winery_w772.jpg;35,123234;25,115075;ΑΝΤΩΝΗΣ ΜΕΛΑΚΗΣ;Antonis Melakis;ΑΥΓΕΝΙΚΗ, 70011, Ηράκλειο, Κρήτη, Ελλάδα;Avgeniki, 70011, Heraklion, Crete, Greece;;;;;;;;;;;;;;;;;;;;;;;;;
19;Κρασιά Τιτάκης;Titakis Wines;Η οινοποιεία Ν.ΤΙΤΑΚΗΣ Α.Ε,είναι μια οικογενειακή οινοποιεία, που βρίσκεται στους Κουνάβους,  μέσα στην καρδιά της ζώνης του οίνου ΟΠΑΠ ΠΕΖΆ. Το πρώτο οινοποιείο λειτούργησε στην Καλλονή,στα μέσα της δεκαετίας του 60,  με μια σχετικά μικρή παραγωγή σε χύμα οίνο.Το 1996 , ο Νίκος Τιτακης μεταφέρει την παραγωγή στις σημερινές εγκαταστάσεις, στους Κουνάβους. Η νέα μονάδα διαθέτει δεξαμενές χωρητικότητας 5οοο τόνων και εξοπλίζεται μέσα από μια συνεχή διαδικασία με σύγχρονο τεχνολογικό εξοπλισμό. Σήμερα, η εταιρεία   διαθέτει 7 διαφορετικούς τύπους  οίνων, τα οποία διακρίνονται για την εξαιρετική ποιότητα τους και την μοντέρνα εμφάνιση τους.;TITAKIS WINES is a family winery, situated in one of the most famous vineyard regions of Crete, the appellation area (AOC) of PEZA. The winery is situated in the village Kounavoi, in the heart of the area.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_1097/logo_2-resized_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_1097/header_dsc00571_w772.jpg;35,1359;25,110192;Τιτάκη Μαρία;Titaki Maria;Ν. ΤΙΤΑΚΗΣ ΑΞΤΕΕ, ΚΟΥΝΑΒΟΙ, 70100, Ηράκλειο, Κρήτη, Ελλάδα;Titakis Wines, Kounavoi, 70100, Heraklion, Crete, Greece;Ηρακλείου;Heraklion;Αρχανών-Αστερουσίων;Acharnon- Astrousion;Herakleion;Κουνάβοι;70100;+30 2810 743 630;6974799517;info@titakis.gr;;Απρίλιος-Νοέμβριος;Δευτέρα-Παρασκευή;12:00-16:00;;;;;;;;;;;
20;Οινοποιείο Στυλιανού;Winery Stilianou;Λίγα χιλιόμετρα νότια της Κνωσού, στην καρδιά του Μινωικού αμπελώνα στο χωριό Κουναβοι ο Γιάννης Στυλιανού καλλιεργεί σε 30 ιδιόκτητα στρέμματα βιολογικού αμπελώνα τις μοναδικές γηγενείς ποικιλίες.βιδιανο, Θραψαθήρι, Βηλάνα, Κοτσιφάλι και Μανδηλάρι.  ;;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_853/logo_logo_winery_stilianou_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_853/header_building_w772.jpg;35,140909;25,112904;ΓΙΑΝΝΗΣ ΣΤΥΛΙΑΝΟΥ;Stylianou John;ΚΟΥΝΑΒΟΙ Δήμου Αρχανών-Αστερουσίων, 70100, Ηράκλειο, Κρήτη, Ελλάδα;KOUNAVI, Municipality of Archanes-Asterousia, 70100, Herkleion, Crete, Greece;Ηρακλείου;Heraklion;Αρχανών-Αστερουσίων;Acharnon- Astrousion;Herakleion;Herakleion;70100;;6936430368;info@stilianouwines.gr;;Μάϊος - Οκτώβριος: 11.00 – 18.00, Νοέμβριος - Απρίλιος: 10.00 – 15.00;;;;;;;;;;;;;
21;Μπουτάρης & ΥΙΟΣ – ΟΙΝΟΠΟΙΗΤΙΚΗ Α.Ε;Boutari;Η εταιρεία «Ι. ΜΠΟΥΤΑΡΗΣ & ΥΙΟΣ – ΟΙΝΟΠΟΙΗΤΙΚΗ Α.Ε.» που εδρεύει στην Θεσσαλονίκη και διαθέτει οινοποιείο στην περιοχή Σκαλανίου. Τα πρώτα βήματα της οικογένειας Μπουτάρη στα οινικά μονοπάτια χρονολογούνται από το 1879. Σήμερα η Εταιρία δραστηριοποιείται στις σημαντικότερες αμπελοοινικές περιοχές της Ελλάδας διατηρώντας ιδιόκτητους αμπελώνες και οινοποιεία στις περιοχές της Νάουσας, Γουμένισσας, Σαντορίνης, Κρήτης και Μαντινείας.;;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_846/logo_logo_boutari_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_846/header_winery_crete_tholos_w772.jpg;35,1634;25,113219;ΚΑΜΑΡΙΑΝΑΚΗΣ ΕΜΜΑΝΟΥΗΛ ;Kamarianakis Emmanouil;Σκαλάνι, Δήμου Ηρακλείου – θέση “Φανταξομέτοχο”, 70100, Κρήτη, Ελλάδα;Skalani, Municipality of Heraklion, 70100,  Crete, Greece;Ηρακλείου;Heraklion;Ηράκλειο;Herakleion;Herakleion;θέση “Φανταξομέτοχο”;70100;+30 2810 731617;6979000689;manolis.kamarianakis@boutari.gr   ;;ΟΛΟ ΤΟ ΧΡΟΝΟ;Δευτέρα-Παρασκευή;09.00 – 17.00;;;;;;;;;;;
22;Αλεξάκης Α.Ε;ALEXAKIS S.A;Η οικογένεια Αλεξάκη είναι από τους σημαντικότερους εκπροσώπους του Κρητικού κρασιού. Από τη δεκαετία του ’70 και μέχρι σήμερα παραμένει το μεγαλύτερο ιδιωτικό οινοποιείο της Κρήτης και στη μακρόχρονη πορεία της έχει συνεργαστεί με το σύνολο σχεδόν των αμπελουργών του νησιού. Το αποτέλεσμα είναι ποιοτικά κρασιά που βασίζονται στην βαθειά γνώση του Κρητικού αμπελώνα (ποικιλίες, έδαφος, μικροκλίμα) για να επιλεγούν τα πιο κατάλληλα αμπελοτόπια και στις πολυετείς συνεργασίες με τους καλύτερους αμπελουργούς που με την κατάλληλη επιστημονική καθοδήγηση προσφέρουν το καλύτερο Κρητικό σταφύλι.;Alexakis S.A is one of the most important ambassadors of Cretan wineIt is the largest privately owned winery in Crete and during its long path has collaborated with almost all the winegrowers on the island. The result is high quality wines based on a thorough knowledge of the Cretan vineyard (varieties, territory, and microclimate).;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_830/logo_alexakis_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_830/header_alexakis-10a_w772.jpg;35,18079;25,065746;Αλεξάκης Απόστολος;;Οδός: ΕΙΡΗΝΗΣ & ΦΙΛΙΑΣ, Τ.Κ.: 71500;;Ηρακλείου;Heraklion;Ηράκλειο;Herakleion;;;71500;+30 2810 252019;6947009393;vinobon@otenet.gr;www.vinobonsa.gr;;;;;;;;;;;;;;
24;Silva Δασκαλάκη ;Silva Daskalaki;Το οινοποιείο  Silva Δασκαλάκη βρίσκεται στη Σίβα, ένα μικρό χωριό του Δήμου Ηρακλείου στο 17χλμ της Εθνικής Οδού Ηρακλείου- Μοιρών.  Η περιοχή ανήκει στη ζώνη Ο.Π.Α.Π. Δαφνών. Ο εξοπλισμός του οινοποιείου  άρχισε το 2003 και ολοκληρώθηκε το 2007 με τελευταίας τεχνολογίας μηχανήματα στο χώρο της παραγωγής και της εμφιάλωσης. ;The Silva Daskalaki winery is situated in Siva, a small village belonging to the municipality of Heraklion, just 17 kms out of Heraklion on the Heraklion-Mires highway. The district has been classed and is recognized as a superior quality zone. The up-grading of this family run business commenced in 2003and was completed in 200, resulting in the establishment of a state-of-the-art winery equipped with the most technologically advanced machinery available on the market today. Conveniently, all aspects of the production and bottling process are situated in one place.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_847/logo_silva_daskalaki_logo_w184.jpg;;35,123198;25,020907;Δασκαλάκη Ειρήνη;Daskalaki Irini;Σίβα, Δήμος Παλιάνης, 70010, Κρήτη, Ελλάδα;Siva Municipality of Paliani, 70010,  Crete, Greece;Ηρακλείου;Herakleion;Παλιανή;Paliani;Siva;Σίβα;70010;+30 2810 792021;6944501619;silva_wine@yahoo.gr;;;;;;;;;;;;;;;
25;Οινοποιείο Ευφροσύνη;Winery Efrosini;Σας καλωσορίζουμε στη μικρή οικογενειακή μας επιχείρηση και σας διαβεβαιώνουμε για την προτεραιότητα που δίνουμε στην ποιότητα σε όλα τα στάδια παραγωγής, οινοποίησης και εμφιάλωσης των προϊόντων μας.;We welcome you to our small family business and we assure you of the priority we give to quality in all the stages of production, vinification and bottling of our products.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_848/logo_logo_efrossini_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_848/header_dsc02120_w772.jpg;35,1157;25,015203;ΤΥΛΑΚΗ ΜΑΡΙΑ;Tilaki Maria;Κεράσια, Ηρακλείου, 70100, Ηράκλειο, Κρήτη, Ελλάδα;Kerasia, Herakleion, 70011, Herakleion, Crete, Greece;Ηρακλείου;Herakleion;Ηράκλειο;Herakleion;Kerasia;Κεράσια;70100;+30 2810 791989;6992399606;tylaki@kosmadakis.gr;;;;;;;;;;;;;;;
26;Κτήμα Ζαχαριουδάκη;Domain Zacharioudakis;Από το δημοσιογράφο Στέλιο Ζαχαριουδάκη και τη σύζυγό του Βικτωρία, ξεκίνησε το 2000 η υλοποίηση του οράματος για την δημιουργία ενός χώρου ύμνος στο αμπέλι και το κρασί, το οποίο και ολοκληρώθηκε το 2009.;In the year 2000, journalist Stelios Zacharioudakis and his spouse, Victoria, began the implementation of their vision to create an area as a tribute to the vineyard and wine, which was completed in 2009.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_856/logo_logo_ktima_zaharioudaki_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_856/header_oinopoiio_18_panoramiki-teliki_w772.jpg;35,08255084;24,93003845;ΒΙΚΤΩΡΙΑ ΖΑΧΑΡΙΟΥΔΑΚΗ;Victoria Zacharioudaki;Πλουτή Ηρακλείου Κρήτης, 70400, Ηράκλειο, Κρήτη, Ελλάδα;Plouti, Herakleion, 70400, Herakleion, Crete, Greece;Ηρακλείου;Herakleion;Φαιστού;Faistos;Moires;Μοιρών;70400;+30 28820 24660;6936 669212;info@zacharioudakis.com;;Απρίλιος-Οκτώβριος;Δευτέρα-Σάββατο;10:00-17:00;ΝΑΙ;;ΝΑΙ;250;;;;;;ΝΑΙ;
27;Οινοποιείο Στραταριδάκη ;Strataridakis bros winery;Ο Κωστής και ο Μανώλης Στραταριδάκης, γεωπόνοι αμφότεροι, έχουν πάρει τη σκυτάλη και συνεχίζουν με ζήλο το έργο του πατέρα τους πηγαίνοντας ένα βήμα πιο μπροστά. Το νεόκτιστο οινοποιείο των αδελφών Στραταριδάκη σηματοδοτεί, με την χαρακτηριστική του αρχιτεκτονική, τη βασική φιλοσοφία των ιδιοκτητών του: τον αρμονικό συνδυασμό, δηλαδή, του παραδοσιακού με το σύγχρονο, το τεχνολογικά εξελιγμένο. Η πρωτοποριακή του σχεδίαση βρίσκεται σε πλήρη συμβατότητα με τη χρήση του, ενσωματώνεται στο φυσικό περιβάλλον, πληροί τα υψηλότερα οικολογικά στάνταρντς προσφέροντας, παράλληλα, την απαραίτητη λειτουργικότητα για την παραγωγή κρασιών υψηλής ποιότητας. Επισκέψιμο σε όλα τα επίπεδα, δίνει στο φιλοξενούμενο τη δυνατότητα να έρθει σε επαφή με όλα τα σταδια της οινοποίησης και να αφουγκραστεί τη δημιουργική γιορτή που συντελείται στη διαδρομή από το αμπέλι μέχρι το μπουκάλι.;Costis and Manolis Strataridakis, both agriculturists, have taken the baton and continue with ardency their father's work hopefully going one step further. The new-built winery of Strataridakis brothers represents, through its characteristic architecture, the basic philosophy of the owners: the harmonious combination of the tradition with the technological advancement. It is open to visitors and gives them the chance to watch all the stages of winemaking and experience the creative “celebration” that takes place from the collection of the grapes until the bottling of the wine.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_855/logo_logo_strataridaki_winery_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_855/header_ds3_4377_w772.jpg;35,02352;25,142363;Μανώλης Στραταριδάκης;Strataridakis Manolis;Αγ. Απόστολοι – Καστελιανά, 70010, Ηράκλειο, Κρήτη, Ελλάδα;Agioi Apostoli – Kasteliana, Arkalochori, 70010, Herakleion, Crete, Greece;Ηρακλείου;Herakleion;Αρκαλοχωρίου;Arkaloxori;Herakleion;Ηράκλειο;70010;+30 28910 71275;6977 805355;info@strataridakis.gr;;Απρίλιος-Νοέμβριος;Καθημερινά;10.00 – 18.00;;;;;;;;;;;
28;Ε.Α.Σ. Πεζών;PEZA UNION;Η Ένωση Αγροτικών Συνεταιρισμών Πεζών βρίσκεται στο νομό Ηρακλείου Κρήτης, στο Δήμο Αρχανών-Αστερουσίων (πρώην Νίκου Καζαντζάκη). Δραστηριοποιείται με δύο βασικά προϊόντα: κρασί και ελαιόλαδο και αποτελεί πρότυπη οργάνωση στον αγροτοσυνεταιριστικό χώρο από το 1933.  ;PEZA UNION  is strategically located at a distance of 16km from the city of Iraklion, at the village of Peza and the Nikos Kazantzakis municipality.  It was established in 1933 and it currently numbers 3000 farmer-members. The company has been certified as per ISO 9001, ISO 22000 and IFS systems. It features fully automated modern installations that process the 90% of the agricultural production of the area.  Currently the company occupies more than 100 employees.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_834/logo_easpezagr_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_834/header_--_dscn6938_w772.jpg;35,102636;25,012918;;;Καλλονή Ηρακλείου Κρήτης, 70100, Ηράκλειο, Κρήτη, Ελλάδα;;Ηρακλείου;Herakleion;Ηράκλειο;Herakleion;Herakleion;Ηράκλειο;70100;+30 2810 741945 - 7, +30 2810 744100;;Πωλήσεις: salesmanager@pezaunion.gr, Εξαγωγές: exports@pezaunion.gr, Μάρκετινγκ: marketing@pezaunion.gr;;Απρίλιος-Οκτώβριος [Νοέμβριος – Μάρτιος (Κατόπιν ραντεβού)];Δευτέρα-Σάββατο;09.00 – 15.00;;;;;;;;;;;
29;Ιερά Μονή Τοπλού;Holy Monastery Toplou;Η Ιερά Μονή της Παναγίας Ακρωτηριανής και του Αγίου Ιωάννη του Θεολόγου Τοπλού Σητείας, κτίστηκε κατά τον 14ο αιώνα και από τότε είχε πάντα ενεργό παρουσία στην κοινωνική αλλά και αμπελοοινική ιστορία του τόπου. Καλλιεργεί βιολογικά αμπέλια και ελιές και παράγει κρασί τσικουδιά και ελαιόλαδο που τυποποιούνται και διατίθενται στην τοπική και τη διεθνή αγορά. Εκτός από το λευκό Θραψαθήρι και Βηλάνα και το κόκκινο Merlot – Syrah που ήδη έχουν γίνει σημείο αναφοράς, πολύ ενδιαφέρον είναι και το γλυκό κόκκινο κρασί από λιαστά σταφύλια της ποικιλίας Λιάτικο.;The Holy Monastery of Panagia Akrotiriani and Agiou Ioanni Theologou TOPLOU of Sitia was built during the 14th century and has ever since been active in the social and viti-vinicultural history of the area. Vines and olive trees are grown organicly producing wine, olive oil and tsikoudia, which are bottled and distributed in the domestic and international market. Except for the white Thrapsathiri and Vilana and the red Merlot and Syrah which are already well known, the sweet red from the sun dried Liatiko grapes is a very interesting wine to taste.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_1458/logo_toplou_logo2_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_1458/header_logo_w772.jpg;35,13163;26,125704;ΓΙΑΛΙΤΑΚΗΣ ΜΑΤΘΑΙΟΣ;Gialitakis Manthos;Ιερά Μονή Τοπλού, Δήμος Σητείας, 72300, Ν. Λασιθίου, Κρήτη, Ελλάδα;IERA MONH TOPLOY , 72300, Perfecture of Lasithi, Crete, Greece;Λασιθίου;Perfecture of Lasithi;Σητεία;Sitia;Sitia;;72300;+30 28430 29630 ;6946443953;m.gialitakis@biositia.gr;;;Τρίτη-Τετάρτη-Πέμπτη 11:00-14:00 (κατόπιν συνεννόησης);Τρίτη-Τετάρτη-Πέμπτη 11:00-14:00 (κατόπιν συνεννόησης);ΝΑΙ;;;;;;;;;;
30;Μανουσάκη Οινοποιία – NOSTOS WINES;Manousakis winery ?€“ NOSTOS WINES ;Σκέψεις, μελέτες, θεωρίες και αναθεωρήσεις και μαζί ανησυχίες, αμφιβολίες, αγωνίες και συναισθήματα ανάμικτα, από αυτά που συνοδεύουν κάθε ξεκίνημα - πόσο μάλλον το ξεκίνημα ενός αμπελώνα - είναι μέσα στο μυαλό και στην καρδιά, κομμάτι μας, πάνω από 3 δεκαετίες. Η πραγματοποίηση της ιδέας, όμως, καθόλου δε στερείται από σιγουριά, αποφασιστικότητα και τόλμη για το εγχείρημα. Και όλα αρχίζουν τελικά το 1993. Τόπος, οι λόφοι νότια του Βατολάκκου, στο Νομό Χανίων. Παίρνοντας το δρόμο για τον Ομαλό, λίγο πριν ανεβείς τα Λευκά Όρη, συναντάς τους αμπελώνες της Οινοποιίας ΜΑΝΟΥΣΑΚΗ, σκαρφαλωμένους σε υψόμετρο 320-380 μέτρα και λίγο ψηλότερα, στα 550-600 μέτρα;he Manousakis Winery is the realization of a dream that began in 1984 when the hills around the village of Vatolakkos were still untouched by humans and the wild herbs of Crete were intoxicating to one's senses. Following numerous studies both in Greece and abroad, the decision was made to plant the Rhone varieties of Syrah, Grenache, Mourvedre and Roussanne.  We felt that the environmental conditions were ideal for the Rhone grapes.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_819/logo_logo_manousakis_en_green_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_819/header_vineyard_30_w772.jpg;35,265656;23,531619;Μανουσάκη Αλεξάνδρα;Manousakis Alexandra;Βατόλακκος, Τ.Θ. 41, 73014,Χανιά, Κρήτη, Ελλάδα;Vatolakkos, Municipality of Platanias, P.O. Box 41,73014, Chania, Crete, Greece;Χανίων;Chania;Πλατανιά;Platanias;Chania;Βατόλακκος;73014;+30 28210 78787;6948610107;info@nostoswines.com;;Ανοιχτά όλο το χρόνο;Δευτέρα-Παρασκευή;9:00 - 16:30 μόνο με Ραντεβο;;;;;;;;;;;
33;Αμπελώνες Ζουμπεράκη;Zoumperakis Winery;;;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_828/logo_logo_zouberakis_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_828/header_sifis2_w772.jpg;;;Ζουμπεράκης Πέτρος;;Καλή Συκια Φοίνικα, Ρέθυμνο, 74060, Ρέθυμνο, Κρήτη, Ελλάδα;;Ρεθύμνου;;Αγίου Βασιλείου;;;Καλή Συκια;74060;+30 28320 51075;;macaris@otenet.gr;;;;;;;;;;;;;;;
34;Αμπελώνες Καραβιτάκη;KARAVITAKIS WINERY;Το οινοποιείο των Αμπελώνων Καραβιτάκη βρίσκεται στα Ποντικιανά στην περιοχή Κολυμβαρίου στα Χανιά. Η οικογένεια Καραβιτάκη για πολλές γενιές ασχολούνταν με την παραγωγή ελαιολάδου αλλά και κυριότερα κρασιού και σταφίδας. Από το 1998 ο Μανόλης Καραβιτάκης έχοντας την εμπειρία της διοίκησης της Ένωσης γεωργικών συνεταιρισμών Καστελίου αναμορφώνει τους οικογενειακούς Αμπελώνες φυτεύοντας νέες ποικιλίες και παράλληλα χτίζει το σύγχρονο οινοποιείο, μια κάθετη μονάδα οινοποίησης, παλαίωσης, και εμφιάλωσης κρασιών. Με την πάροδο των ετών όλο και περισσότερες ποικιλίες φυτεύονται και οινοποιούνται καλύπτοντας ένα ευρύ φάσμα επιθυμιών. Στο κτήμα ακολουθούνται οι πλέον σύγχρονες μέθοδοι οινοποίησης με όσο το δυνατόν πιο εξελιγμένο μηχανολογικό εξοπλισμό ώστε να παράγονται κρασιά που να μπορούν να ανταγωνιστούν διεθνή αντίστοιχα προϊόντα. ;Karavitakis winery is located in Pontikiana at Kolymvari area in Chania. Karavitakis family was producing olive oil,  raisins and maily wine for many generations. From 1998 Manolis Karavitakis with the experience he got from running a large winery in the Kastelli Cooperative, reforms the family's vineyards with new varieties both native and international and builds the estates winery in traditional style. In the course of time new varieties are planted. In our estate we follow most modern vinification methods and incorporate new technologies every year.;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_820/logo_logo-karavitakis_w184.jpg;http://www.winesofcrete.gr/cretewines/cache/thumbs/wineries/winery_820/header_photo_winery_fix_w772.jpg;;;Καραβιτάκης Νίκος;Karavitakis Nikos;Ποντικιανά, Περιοχή Κολυμβαρίου ,Δήμος Πλατανιά, 73100,  Κρήτη, Ελλάδα;Pontikiana,Chania, Municipality of Platanias, Kolimvari, 73100, Crete, Greece ;Χανίων;Chania;Πλατανιά;Platanias;Kolimvari;Χανίων;73100;+30 28210 333326;6974 323852;karavitakiswines@hotmail.com;;Ανοιχτά όλο το χρόνο κατόπιν συνεννόησης;;10.00 - 18.00;;;;;;;;;;;
